sample_id,label
GSM3454145,control
GSM3454146,control
GSM3454147,control
GSM3454148,control
GSM3454149,control
GSM3454150,control
GSM3454151,control
GSM3454152,control
GSM3454153,control
GSM3454154,control
GSM3454155,control
GSM3454156,control
GSM3454157,control
GSM3454158,control
GSM3454159,control
GSM3454160,control
GSM3454161,control
GSM3454162,control
GSM3454163,control
GSM3454164,control
GSM3454165,control
GSM3454166,control
GSM3454167,control
GSM3454168,control
GSM3454169,control
GSM3454170,control
GSM3454171,control
GSM3454172,control
GSM3454173,control
GSM3454174,control
GSM3454175,control
GSM3454176,control
GSM3454177,control
GSM3454178,control
GSM3454179,control
GSM3454180,control
GSM3454181,control
GSM3454182,control
GSM3454183,control
GSM3454184,control
GSM3454185,control
GSM3454186,control
GSM3454187,control
GSM3454188,control
GSM3454089,positive
GSM3454090,positive
GSM3454091,positive
GSM3454092,positive
GSM3454093,positive
GSM3454094,positive
GSM3454095,positive
GSM3454096,positive
GSM3454097,positive
GSM3454098,positive
GSM3454099,positive
GSM3454100,positive
GSM3454101,positive
GSM3454102,positive
GSM3454103,positive
GSM3454104,positive
GSM3454105,positive
GSM3454106,positive
GSM3454107,positive
GSM3454108,positive
GSM3454109,positive
GSM3454110,positive
GSM3454111,positive
GSM3454112,positive
GSM3454113,positive
GSM3454114,positive
GSM3454115,positive
GSM3454116,positive
GSM3454117,positive
GSM3454118,positive
GSM3454119,positive
GSM3454120,positive
GSM3454121,positive
GSM3454122,positive
GSM3454123,positive
GSM3454124,positive
GSM3454125,positive
GSM3454126,positive
GSM3454127,positive
GSM3454128,positive
GSM3454129,positive
GSM3454130,positive
GSM3454131,positive
GSM3454132,positive
GSM3454133,positive
GSM3454134,positive
GSM3454135,positive
GSM3454136,positive
GSM3454137,positive
GSM3454138,positive
GSM3454139,positive
GSM3454140,positive
GSM3454141,positive
GSM3454142,positive
GSM3454143,positive
GSM3454144,positive
